delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,polygon.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.7,1000,exp,0,11,11,8,67.14335589995608,,67.12854949990287,67.14335589995608,68.1435032999143,68.1435032999143,68.1435032999143,68.71163989999332,space,0.5585002000443637,None,68.71232269983739,69.42695376655708,69.73788289981894,69.72594689996913,69.72600299981423,69.73788289981894,69.73788289981894,69.73788289981894,72.07901019998826,800,1,[2.3502062999177724],[2.3502160999923944],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.1,400,unexp,1,0,12,0,72.09356349986047,,72.0799233999569,72.09356349986047,73.09349090000615,73.09349090000615,73.09349090000615,73.62767570000142,space,0.5178799999412149,None,73.6282871000003,73.74353186652685,74.04769399994984,74.03554529999383,74.03558089979924,74.04769399994984,74.04769399994984,74.04769399994984,77.99487129994668,543,1,[3.9574247000273317],[3.9574365001171827],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.4,1000,exp,1,1,13,4,78.00969169987366,,77.99583969986998,78.00969169987366,79.01024699979462,79.01024699979462,79.01024699979462,79.74539739987813,space,0.7330959001556039,None,79.7462561998982,80.16008096660177,80.4689268998336,80.45599439996295,80.45603569992818,80.4689268998336,80.4689268998336,80.4689268998336,83.14482799987309,800,1,[2.686312499921769],[2.686325400136411],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.7,1000,exp,1,2,14,5,83.1610956999939,,83.14579649991356,83.1610956999939,84.15965109993704,84.15965109993704,84.17669709981419,84.94449309981428,space,0.7794367999304086,None,84.94523489987478,85.65958186664308,85.95960089983419,85.94479029998183,85.94482189998962,85.95960089983419,85.95960089983419,85.95960089983419,88.32860479992814,900,1,[2.381942099891603],[2.381951699964702],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.7,400,unexp,1,3,15,2,88.34293429995887,,88.32936539989896,88.34293429995887,89.34308619983494,89.34308619983494,89.34308619983494,89.91115759988315,space,0.5521694999188185,None,89.91183159989305,90.62624536647151,90.93630639999174,90.92555369995534,90.92559070000425,90.93630639999174,90.93630639999174,90.93630639999174,98.26111959991977,520,1,[7.33344620000571],[7.3334576999768615],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.1,1000,exp,1,4,16,6,98.27610699995421,,98.26218649977818,98.27610699995421,99.27586149983108,99.27586149983108,99.27586149983108,99.96082009980455,space,0.6803878999780864,None,99.96161779994145,100.07608456659752,100.38996099983342,100.37574449996464,100.37580529996194,100.38996099983342,100.38996099983342,100.38996099983342,105.32748959981836,650,1,[4.948983599897474],[4.948995299870148],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.4,1000,exp,1,5,17,10,105.34269109996967,,105.32855649990961,105.34269109996967,106.34243949991651,106.34243949991651,106.34243949991651,106.94372529978864,space,0.5923624001443386,None,106.94452529982664,107.3590996666501,107.66941209998913,107.65533159999177,107.65537719987333,107.66941209998913,107.66941209998913,107.66941209998913,112.47650150000118,988,1,[4.819293899927288],[4.819303099997342],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.7,1000,exp,1,6,18,11,112.49232409987599,,112.47744879988022,112.49232409987599,113.49220409989357,113.49220409989357,113.49220409989357,114.76050589978695,space,1.260946199996397,None,114.76118409982882,115.47544576652969,115.78697299980558,115.77564989984967,115.77569069992751,115.78697299980558,115.78697299980558,115.78697299980558,120.12826049979776,980,1,[4.3503835999872535],[4.350396999856457],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.7,1000,exp,1,7,19,8,120.1421749999281,,120.12917269999161,120.1421749999281,121.14223649981432,121.14223649981432,121.14223649981432,121.74347789981402,space,0.5997530000749975,None,121.74418999999762,122.45864076662498,122.76754119992256,122.75551199982874,122.75554059981368,122.76754119992256,122.76754119992256,122.76754119992256,127.86145339999348,965,1,[5.104132399894297],[5.104144399985671],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.1,1000,exp,1,8,20,3,127.87503649992868,,127.86242679995485,127.87503649992868,128.875267499825,128.875267499825,128.875267499825,129.49347749981098,space,0.610880000051111,None,129.49419599981047,129.60847776645485,129.91936439997517,129.9057736999821,129.90582359977998,129.91936439997517,129.91936439997517,129.91936439997517,133.7599647999741,975,1,[3.8519201001618057],[3.851930200122297],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
